src_city,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
hobyo,Hobyo,20.0,SO,1600403765.0,75.0,5.35,48.53,79.9,18.61
mount isa,Mount Isa,40.0,AU,1600403766.0,33.0,-20.73,139.5,91.4,12.75
jalu,Jalu,0.0,LY,1600403767.0,70.0,29.03,21.55,73.02,7.92
mikuni,Mikuni,75.0,JP,1600403768.0,94.0,36.22,136.15,69.8,9.17
kallithea,Kallithea,75.0,GR,1600403770.0,83.0,37.95,23.7,78.01,10.29
moyale,Moyale,92.0,KE,1600403771.0,80.0,3.52,39.06,65.86,12.08
matay,Maţāy,0.0,EG,1600403772.0,66.0,28.42,30.78,77.7,16.53
georgetown,George Town,40.0,MY,1600403773.0,94.0,5.41,100.34,78.8,3.36
kashi,Kashgar,9.0,CN,1600403774.0,20.0,39.45,75.98,77.0,8.95
dingle,Dingle,100.0,PH,1600403776.0,77.0,11.0,122.67,83.07,1.63
ambulu,Ambulu,0.0,ID,1600403777.0,54.0,-8.35,113.61,87.58,10.09
xaltianguis,Xaltianguis,100.0,MX,1600403778.0,98.0,17.07,-99.83,70.07,1.97
cabo san lucas,Cabo San Lucas,78.0,MX,1600403629.0,73.0,22.89,-109.91,84.0,3.0
san andres,San Andrés,40.0,CO,1600403780.0,88.0,12.58,-81.7,80.6,2.24
hervey bay,Hervey Bay,8.0,AU,1600403548.0,65.0,-25.3,152.85,75.99,5.99
portland,Portland,90.0,US,1600403714.0,77.0,45.52,-122.68,66.99,4.34
bilma,Bilma,63.0,NE,1600403784.0,21.0,18.69,12.92,87.84,3.8
bani,Baní,71.0,DO,1600403785.0,83.0,18.28,-70.33,81.0,7.14
shubarshi,Shubarshi,9.0,KZ,1600403786.0,60.0,48.59,57.19,54.23,3.11
bunumbu,Bunumbu,100.0,SL,1600403787.0,97.0,8.17,-10.87,70.0,0.78
koshurnikovo,Koshurnikovo,92.0,RU,1600403789.0,72.0,54.17,93.3,56.95,1.3
coos bay,Coos Bay,75.0,US,1600403492.0,100.0,43.37,-124.22,61.0,4.7
acari,Acarí,39.0,PE,1600403791.0,65.0,-15.43,-74.62,60.57,1.28
bambous virieux,Bambous Virieux,20.0,MU,1600403792.0,60.0,-20.34,57.76,75.0,16.11
port augusta,Port Augusta,54.0,AU,1600403794.0,25.0,-32.5,137.77,87.8,21.92
beaumont,Beaumont,1.0,US,1600403795.0,78.0,30.09,-94.1,80.6,4.7
juneau,Juneau,100.0,US,1600403796.0,75.0,58.3,-134.42,57.0,1.01
visnes,Visnes,75.0,NO,1600403797.0,87.0,59.36,5.22,55.0,6.93
iquitos,Iquitos,68.0,PE,1600403799.0,78.0,-3.75,-73.25,75.47,1.63
samarai,Samarai,99.0,PG,1600403800.0,86.0,-10.62,150.67,79.81,14.36
mont-de-marsan,Arrondissement de Mont-de-Marsan,99.0,FR,1600403801.0,77.0,44.0,-0.67,66.99,4.7
north battleford,North Battleford,1.0,CA,1600403802.0,75.0,52.78,-108.28,44.01,9.17
chicama,Chicama,74.0,PE,1600403803.0,83.0,-7.84,-79.15,60.64,2.53
anadyr,Anadyr,40.0,RU,1600403805.0,75.0,64.75,177.48,44.6,8.95
lake city,Lake City,1.0,US,1600403639.0,94.0,30.19,-82.64,75.99,5.82
ternate,Ternate,88.0,ID,1600403807.0,73.0,0.8,127.4,82.49,2.59
kaseda,Kaseda-shirakame,75.0,JP,1600403808.0,83.0,31.42,130.32,82.4,13.87
pingliang,Pingliang,0.0,CN,1600403583.0,38.0,35.54,106.69,71.53,14.65
tabas,Tabas,0.0,IR,1600403810.0,22.0,33.6,56.92,80.6,6.93
brownfield,Brownfield,8.0,US,1600403812.0,66.0,33.18,-102.27,70.0,1.99
kodinsk,Kodinsk,99.0,RU,1600403813.0,48.0,58.69,99.18,63.39,11.56
bilibino,Bilibino,97.0,RU,1600403814.0,81.0,68.05,166.44,35.82,6.35
povenets,Povenets,87.0,RU,1600403815.0,81.0,62.85,34.83,42.21,15.37
mahajanga,Mahajanga,15.0,MG,1600403816.0,60.0,-15.72,46.32,73.4,6.93
riyadh,Riyadh,19.0,SA,1600403772.0,28.0,24.69,46.72,80.6,3.36
galle,Galle,100.0,LK,1600403819.0,83.0,6.04,80.22,81.54,15.35
rio grande,Rio Grande,0.0,BR,1600403820.0,91.0,-32.03,-52.1,58.35,5.73
torres,Torres,35.0,BR,1600403821.0,95.0,-29.34,-49.73,59.85,5.19
peniche,Peniche,89.0,PT,1600403822.0,82.0,39.36,-9.38,64.0,10.0
freeport,Freeport,90.0,US,1600403577.0,83.0,40.66,-73.58,69.8,4.7
sao felix do xingu,São Félix do Xingu,64.0,BR,1600403825.0,51.0,-6.64,-51.99,77.29,1.23
san quintin,San Quintín,11.0,MX,1600403826.0,51.0,30.48,-115.95,76.57,12.26
krasnoshchekovo,Krasnoshchekovo,91.0,RU,1600403827.0,52.0,51.67,82.73,58.28,21.92
vereeniging,Vereeniging,0.0,ZA,1600403828.0,66.0,-26.67,27.93,55.0,9.33
hamilton,Hamilton,1.0,US,1600403715.0,67.0,39.18,-84.53,64.4,6.93
nekhayevskiy,Nekhayevskiy,93.0,RU,1600403831.0,49.0,50.41,41.76,59.0,4.0
montepuez,Montepuez,80.0,MZ,1600403832.0,72.0,-13.13,39.0,69.96,3.18
podporozhye,Podporozh'ye,100.0,RU,1600403591.0,89.0,60.91,34.17,43.7,13.89
klaeng,Klaeng,100.0,TH,1600403834.0,10.0,12.78,101.65,84.0,5.95
hambantota,Hambantota,40.0,LK,1600403835.0,79.0,6.12,81.12,84.2,17.22
nurota,Nurota,17.0,UZ,1600403837.0,31.0,40.56,65.69,57.2,4.7
tual,Tual,52.0,ID,1600403838.0,82.0,-5.67,132.75,80.38,9.73
nioro,Nioro,100.0,GM,1600403839.0,94.0,13.35,-15.75,75.27,6.8
pochutla,Pochutla,100.0,MX,1600403840.0,89.0,15.74,-96.47,75.99,1.86
destin,Destin,1.0,US,1600403841.0,83.0,30.39,-86.5,78.8,6.89
salmo,Salmo,0.0,CA,1600403842.0,70.0,49.2,-117.27,60.01,4.81
maniitsoq,Maniitsoq,100.0,GL,1600403844.0,68.0,65.42,-52.9,38.66,8.37
santa catarina de tepehuanes,Santa Catarina de Tepehuanes,72.0,MX,1600403845.0,76.0,25.35,-105.73,61.86,4.61
phulabani,Phulbāni,90.0,IN,1600403846.0,66.0,20.47,84.23,87.64,3.44
camacupa,Camacupa,79.0,AO,1600403847.0,74.0,-12.02,17.48,61.93,3.49
ketchikan,Ketchikan,75.0,US,1600403711.0,82.0,55.34,-131.65,60.8,3.36
krasnyy bor,Krasnyy Bor,90.0,RU,1600403850.0,87.0,59.68,30.67,44.6,17.9
lewiston,Lewiston,90.0,US,1600403851.0,93.0,44.1,-70.21,55.4,6.31
